ano,domingo,final_semana,inicio_semana,jueves,lunes,martes,miercoles,nro_semana,sabado,viernes,active
2015,False,2015-01-04,2014-12-29,False,True,True,False,1,False,True,True
2015,False,2015-01-11,2015-01-05,True,True,True,True,2,False,True,True
2015,False,2015-01-18,2015-01-12,True,True,True,True,3,False,True,True
2015,False,2015-01-25,2015-01-19,True,True,True,True,4,False,True,True
2015,False,2015-02-01,2015-01-26,True,True,True,True,5,False,True,True
2015,False,2015-02-15,2015-02-09,True,True,True,True,7,False,True,True
2015,False,2015-02-22,2015-02-16,True,True,True,True,8,False,True,True
2015,False,2015-03-01,2015-02-23,True,True,True,True,9,False,True,True
2015,False,2015-03-08,2015-03-02,True,True,True,True,10,False,True,True
2015,False,2015-03-15,2015-03-09,True,True,True,True,11,False,True,True
2015,False,2015-03-22,2015-03-16,True,True,True,True,12,False,True,True
2015,False,2015-03-29,2015-03-23,True,True,True,True,13,False,True,True
2015,False,2015-04-05,2015-03-30,True,True,True,True,14,False,True,True
2015,False,2015-04-12,2015-04-06,True,True,True,True,15,False,True,True
2015,False,2015-04-19,2015-04-13,True,True,True,True,16,False,True,True
2015,False,2015-04-26,2015-04-20,True,True,True,True,17,False,True,True
2015,False,2015-05-03,2015-04-27,True,True,True,True,18,False,True,True
2015,False,2015-05-10,2015-05-04,True,True,True,True,19,False,True,True
2015,False,2015-05-17,2015-05-11,True,True,True,True,20,False,True,True
2015,False,2015-05-24,2015-05-18,True,True,True,True,21,False,True,True
2015,False,2015-05-31,2015-05-25,True,True,True,True,22,False,True,True
2015,False,2015-06-07,2015-06-01,True,True,True,True,23,False,True,True
2015,False,2015-06-14,2015-06-08,True,True,True,True,24,False,True,True
2015,False,2015-06-21,2015-06-15,True,True,True,True,25,False,True,True
2015,False,2015-06-28,2015-06-22,True,True,True,True,26,False,True,True
2015,False,2015-07-05,2015-06-29,True,True,True,True,27,False,True,True
2015,False,2015-07-12,2015-07-06,True,True,True,True,28,False,True,True
2015,False,2015-07-19,2015-07-13,True,True,True,True,29,False,True,True
2015,False,2015-07-26,2015-07-20,True,True,True,True,30,False,True,True
2015,False,2015-08-02,2015-07-27,True,True,True,True,31,False,True,True
2015,False,2015-08-09,2015-08-03,True,True,True,True,32,False,True,True
2015,False,2015-08-16,2015-08-10,True,True,True,True,33,False,True,True
2015,False,2015-08-23,2015-08-17,True,True,True,True,34,False,True,True
2015,False,2015-08-30,2015-08-24,True,True,True,True,35,False,True,True
2015,False,2015-09-06,2015-08-31,True,True,True,True,36,False,True,True
2015,False,2015-09-13,2015-09-07,True,True,True,True,37,False,True,True
2015,False,2015-09-20,2015-09-14,True,True,True,True,38,False,True,True
2015,False,2015-05-27,2015-09-21,True,True,True,True,39,False,True,True
2015,False,2015-10-04,2015-09-28,True,True,True,True,40,False,True,True
2015,False,2015-10-11,2015-10-05,True,True,True,True,41,False,True,True
2015,False,2015-10-18,2015-10-12,True,True,True,True,42,False,True,True
2015,False,2015-10-25,2015-10-19,True,True,True,True,43,False,True,True
2015,False,2015-11-01,2015-10-26,True,True,True,True,44,False,True,True
2015,False,2015-11-08,2015-11-02,True,True,True,True,45,False,True,True
2015,False,2015-11-15,2015-11-09,False,False,False,False,46,False,False,True
2015,False,2015-11-22,2015-11-16,True,True,True,True,47,False,True,True
2015,False,2015-11-29,2015-11-23,True,True,True,True,48,False,True,True
2015,False,2015-12-06,2015-11-30,True,True,True,True,49,False,True,True
2015,False,2015-12-13,2015-12-07,True,True,True,True,50,False,True,True
2015,False,2015-12-20,2015-12-14,True,True,True,True,51,False,True,True
2015,False,2015-12-27,2015-12-21,True,True,True,True,52,False,True,True
2015,False,2016-01-03,2015-12-28,True,True,True,True,53,False,True,True
2015,False,2015-02-08,2015-02-02,True,True,True,True,6,False,True,True
